word;phon
the;ðə, ði:
be;bi:
of;əv, ɒv
and;ənd, ænd
to;tə, tu:
in;ɪn
have;hæv, həv
it;ɪt
he;hi:
for;fə, fɔ:
they;ðeɪ
you;ju:
not;nɒt
that;ðæt
with;wɪð
she;ʃi:
on;ɒn
do;du:
at;æt, ət
by;baɪ
we;wi:
this;ðɪs
but;bət, bʌt
from;frəm, frɒm
as;əz, æz
or;ɔ:
which;wɪʧ
an;ən, æn
will;wɪl
say;seɪ
would;wʊd, wəd
can;kən, kæn
if;ɪf
all;ɔ:l
there;ðeə
what;wɒt
go;ɡəʊ
so;səʊ
get;get
make;meɪk
who;hu:
up;ʌp
out;aʊt
one;wʌn
see;si:
time;taɪm
know;nəʊ
take;teɪk
when;wɪn
some;sʌm
year;jɪə
could;kʊd, kəd
into;ˈɪntə, ˈɪntu:
then;ðen
two;tu:
well;wel
about;əˈbaʊt
think;θɪŋk
come;kʌm
than;ðən, ðæn
more;mɔ:r
no;nəʊ
now;naʊ
other;ˈʌðə
give;gɪv
only;ˈəʊnli
good;gʊd
just;ʤʌst
these;ði:z
also;ˈɔ:lsəʊ
people;ˈpi:pl
first;fɜ:st
any;ˈeni
new;nju:
very;ˈveri
may;meɪ
way;weɪ
should;ʃʊd, ʃəd
look;lʊk
such;sʌtʃ
use;ju:z
like;laɪk
because;bɪˈkəz, bɪˈkɒz
how;haʊ
find;faɪnd
man;mæn
day;deɪ
between;bɪtˈwi:n
after;ˈɑ:ftə
many;ˈmeni
want;wɒnt
those;ðəʊz
even;ˈi:vn
down;daʊn
three;θri:
back;bæk
thing;θɪŋ
over;ˈəʊvə
tell;tel
last;lɑ:st
through;θru:
must;məst, mʌst
child;ʧaɪld
still;stɪl
here;hɪə
put;pʊt
own;əʊn
too;tu:
government;ˈgʌvənmənt
become;bɪˈkʌm
mean;mi:n
part;pɑ:t
need;ni:d
work;wɜ:k
great;greɪt
case;keɪs
old;əʊld
life;laɪf
leave;li:v
system;ˈsɪstəm
same;seɪm
where;weə
each;i:ʧ
group;gru:p
woman;ˈwʊmən
number;ˈnʌmbə
however;haʊˈevə
seem;si:m
another;əˈnʌðə
might;maɪt
feel;fi:l
show;ʃəʊ
yes;jes
world;wɜ:ld
area;ˈeəriə
house;haʊs
ask;ɑ:sk
company;ˈkʌmpəni
again;əˈgen, əˈɡeɪn
high;haɪ
most;məʊst
course;kɔ:s
problem;ˈprɒbləm
against;əˈgenst, əˈɡeɪnst
under;ˈʌndə
service;ˈsɜ:rvɪs
never;ˈnevər
try;traɪ
place;pleɪs
party;ˈpɑ:ti
call;kɔ:l
school;sku:l
much;mʌʧ
provide;prəˈvaɪd
small;smɔ:l
hand;hænd
something;ˈsʌmθɪŋ
while;waɪl
why;waɪ
keep;ki:p
country;ˈkʌntri
point;pɔɪnt
little;ˈlɪtl
different;ˈdɪfrənt
large;lɑ:ʤ
away;əˈweɪ
off;ɒf
member;ˈmembə
week;wi:k
hold;həʊld
really;ˈri:əli
end;end
four;fɔ:
next;nekst
always;ˈɔ:lweɪz
within;wɪˈðɪn
without;wɪˈðaʊt
local;ˈləʊkl
turn;tɜ:n
state;steɪt
during;ˈdjʊərɪŋ
few;fju:
example;ɪgˈzɑ:mpl
although;ɔ:lˈðəʊ
bring;brɪŋ
word;wɜ:d
before;biˈfɔ:
begin;bɪˈgɪn
family;ˈfæməli
fact;fækt
rather;ˈrɑ:ðə
follow;ˈfɒləʊ
social;ˈsəʊʃl
long;lɒŋ
help;help
start;stɑ:t
five;faɪv
quite;kwaɪt
right;raɪt
write;raɪt
month;mʌnθ
run;rʌn
set;set
every;ˈevri
business;ˈbɪznəs
important;ɪmˈpɔ:tnt
term;tɜ:m
side;saɪd
information;ˌɪnfəˈmeɪʃn
home;həʊm
question;ˈkwestʃən
head;hed
power;ˈpaʊə
change;ʧeɪnʤ
move;mu:v
play;pleɪ
night;naɪt
national;ˈnæʃnəl
order;ˈɔ:də
pay;peɪ
both;bəʊθ
interest;ˈɪntrəst, ˈɪntrest
often;ˈɒfn, ˈɒftən
development;dɪˈveləpmənt
book;bʊk
money;ˈmʌni
young;jʌŋ
eye;aɪ
water;ˈwɔ:tə
form;fɔrm
level;ˈlevl
whether;ˈweðə
british;ˈbrɪtɪʃ
